date,category,sales,sales_capped
2024-03-30,Clothing,1329.75,1329.75
2024-03-31,Clothing,1267.36,1267.36
2024-04-01,Clothing,942.64,942.64
2024-04-02,Clothing,766.28,766.28
2024-04-03,Clothing,868.01,868.01
2024-04-04,Clothing,868.11,868.11
2024-04-05,Clothing,936.88,936.88
2024-04-06,Clothing,1309.31,1309.31
2024-04-07,Clothing,1246.79,1246.79
2024-04-08,Clothing,790.83,790.83
2024-04-09,Clothing,829.63,829.63
2024-04-10,Clothing,876.71,876.71
2024-04-11,Clothing,870.54,870.54
2024-04-12,Clothing,852.29,852.29
2024-04-13,Clothing,1235.06,1235.06
2024-04-14,Clothing,1258.7,1258.7
2024-04-15,Clothing,914.69,914.69
2024-04-16,Clothing,785.68,785.68
2024-04-17,Clothing,850.59,850.59
2024-04-18,Clothing,942.55,942.55
2024-04-19,Clothing,1078.72,1078.72
2024-04-20,Clothing,1214.89,1214.89
2024-04-21,Clothing,1277.04,1277.04
2024-04-22,Clothing,787.76,787.76
2024-04-23,Clothing,830.16,830.16
2024-04-24,Clothing,919.84,919.84
2024-04-25,Clothing,937.1,937.1
2024-04-26,Clothing,717.8,717.8
2024-04-27,Clothing,1250.23,1250.23
2024-04-28,Clothing,1320.31,1320.31
2024-04-29,Clothing,778.22,778.22
2024-04-30,Clothing,823.37,823.37
2024-05-01,Clothing,895.16,895.16
2024-05-02,Clothing,772.08,772.08
2024-05-03,Clothing,825.67,825.67
2024-05-04,Clothing,1171.06,1171.06
2024-05-05,Clothing,1054.35,1054.35
2024-05-06,Clothing,810.13,810.13
2024-05-07,Clothing,775.28,775.28
2024-05-08,Clothing,839.0,839.0
2024-05-09,Clothing,905.92,905.92
2024-05-10,Clothing,818.36,818.36
2024-05-11,Clothing,1119.85,1119.85
2024-05-12,Clothing,1164.33,1164.33
2024-05-13,Clothing,780.6,780.6
2024-05-14,Clothing,826.96,826.96
2024-05-15,Clothing,676.37,676.37
2024-05-16,Clothing,689.86,689.86
2024-05-17,Clothing,634.29,634.29
2024-05-18,Clothing,1147.02,1147.02
2024-05-19,Clothing,1105.12,1105.12
2024-05-20,Clothing,710.24,710.24
2024-05-21,Clothing,702.4,702.4
2024-05-22,Clothing,708.89,708.89
2024-05-23,Clothing,684.88,684.88
2024-05-24,Clothing,718.62,718.62
2024-05-25,Clothing,1051.53,1051.53
2024-05-26,Clothing,1160.57,1160.57
2024-05-27,Clothing,749.56,749.56
2024-05-28,Clothing,678.54,678.54
2024-05-29,Clothing,690.14,690.14
2024-05-30,Clothing,794.67,794.67
2024-05-31,Clothing,747.47,747.47
2024-06-01,Clothing,1071.85,1071.85
2024-06-02,Clothing,1093.73,1093.73
2024-06-03,Clothing,808.5,808.5
2024-06-04,Clothing,638.04,638.04
2024-06-05,Clothing,664.12,664.12
2024-06-06,Clothing,602.26,602.26
2024-06-07,Clothing,734.25,734.25
2024-06-08,Clothing,1007.13,1007.13
2024-06-09,Clothing,986.33,986.33
2024-06-10,Clothing,652.69,652.69
2024-06-11,Clothing,737.95,737.95
2024-06-12,Clothing,686.03,686.03
2024-06-13,Clothing,660.86,660.86
2024-06-14,Clothing,766.19,766.19
2024-06-15,Clothing,945.98,945.98
2024-06-16,Clothing,930.14,930.14
2024-06-17,Clothing,841.37,841.37
2024-06-18,Clothing,662.0,662.0
2024-06-19,Clothing,649.88,649.88
2024-06-20,Clothing,637.31,637.31
2024-06-21,Clothing,671.26,671.26
2024-06-22,Clothing,1038.09,1038.09
2024-06-23,Clothing,1034.12,1034.12
2024-06-24,Clothing,707.99,707.99
2024-06-25,Clothing,657.36,657.36
2024-06-26,Clothing,583.46,583.46
2024-06-27,Clothing,688.67,688.67
2024-06-28,Clothing,761.71,761.71
2024-06-29,Clothing,1041.44,1041.44
2024-06-30,Clothing,965.54,965.54
2024-07-01,Clothing,715.73,715.73
2024-07-02,Clothing,643.55,643.55
2024-07-03,Clothing,662.54,662.54
2024-07-04,Clothing,591.0,591.0
2024-07-05,Clothing,645.42,645.42
2024-07-06,Clothing,975.9,975.9
2024-07-07,Clothing,956.26,956.26
2024-07-08,Clothing,8504.52,2307.32
2024-07-09,Clothing,775.04,775.04
2024-07-10,Clothing,740.88,740.88
2024-07-11,Clothing,642.9,642.9
2024-07-12,Clothing,617.01,617.01
2024-07-13,Clothing,922.67,922.67
2024-07-14,Clothing,902.7,902.7
2024-07-15,Clothing,662.31,662.31
2024-07-16,Clothing,685.45,685.45
2024-07-17,Clothing,671.13,671.13
2024-07-18,Clothing,671.8,671.8
2024-07-19,Clothing,669.77,669.77
2024-07-20,Clothing,952.56,952.56
2024-07-21,Clothing,916.11,916.11
2024-07-22,Clothing,764.38,764.38
2024-07-23,Clothing,724.08,724.08
2024-07-24,Clothing,607.12,607.12
2024-07-25,Clothing,607.75,607.75
2024-07-26,Clothing,627.39,627.39
2024-07-27,Clothing,965.47,965.47
2024-07-28,Clothing,1039.82,1039.82
2024-07-29,Clothing,725.32,725.32
2024-07-30,Clothing,729.24,729.24
2024-07-31,Clothing,731.24,731.24
2024-08-01,Clothing,733.22,733.22
2024-08-02,Clothing,711.95,711.95
2024-08-03,Clothing,998.11,998.11
2024-08-04,Clothing,965.09,965.09
2024-08-05,Clothing,566.22,566.22
2024-08-06,Clothing,664.24,664.24
2024-08-07,Clothing,781.32,781.32
2024-08-08,Clothing,642.07,642.07
2024-08-09,Clothing,638.24,638.24
2024-08-10,Clothing,1043.48,1043.48
2024-08-11,Clothing,989.27,989.27
2024-08-12,Clothing,651.27,651.27
2024-08-13,Clothing,775.08,775.08
2024-08-14,Clothing,720.67,720.67
2024-08-15,Clothing,730.33,730.33
2024-08-16,Clothing,652.7,652.7
2024-08-17,Clothing,1027.98,1027.98
2024-08-18,Clothing,1023.32,1023.32
2024-08-19,Clothing,738.65,738.65
2024-08-20,Clothing,762.89,762.89
2024-08-21,Clothing,763.48,763.48
2024-08-22,Clothing,708.17,708.17
2024-08-23,Clothing,741.38,741.38
2024-08-24,Clothing,949.1,949.1
2024-08-25,Clothing,1059.54,1059.54
2024-08-26,Clothing,747.6,747.6
2024-08-27,Clothing,685.48,685.48
2024-08-28,Clothing,664.71,664.71
2024-08-29,Clothing,709.98,709.98
2024-08-30,Clothing,885.775,885.775
2024-08-31,Clothing,1061.57,1061.57
2024-09-01,Clothing,1062.42,1062.42
2024-09-02,Clothing,666.53,666.53
2024-09-03,Clothing,728.9,728.9
2024-09-04,Clothing,792.75,792.75
2024-09-05,Clothing,795.13,795.13
2024-09-06,Clothing,794.73,794.73
2024-09-07,Clothing,1058.78,1058.78
2024-09-08,Clothing,1051.58,1051.58
2024-09-09,Clothing,719.07,719.07
2024-09-10,Clothing,780.98,780.98
2024-09-11,Clothing,889.46,889.46
2024-09-12,Clothing,835.61,835.61
2024-09-13,Clothing,849.46,849.46
2024-09-14,Clothing,1178.47,1178.47
2024-09-15,Clothing,1005.18,1005.18
2024-09-16,Clothing,751.49,751.49
2024-09-17,Clothing,740.72,740.72
2024-09-18,Clothing,844.83,844.83
2024-09-19,Clothing,874.37,874.37
2024-09-20,Clothing,736.47,736.47
2024-09-21,Clothing,1132.09,1132.09
2024-09-22,Clothing,1168.0,1168.0
2024-09-23,Clothing,756.9,756.9
2024-09-24,Clothing,751.85,751.85
2024-09-25,Clothing,752.3,752.3
2024-09-26,Clothing,849.45,849.45
2024-09-27,Clothing,8942.880000000001,2307.32
2024-09-28,Clothing,1232.34,1232.34
2024-09-29,Clothing,1174.5,1174.5
2024-09-30,Clothing,855.33,855.33
2024-10-01,Clothing,906.46,906.46
2024-10-02,Clothing,777.17,777.17
2024-10-03,Clothing,771.86,771.86
2024-10-04,Clothing,850.05,850.05
2024-10-05,Clothing,1138.47,1138.47
2024-10-06,Clothing,1161.84,1161.84
2024-10-07,Clothing,828.49,828.49
2024-10-08,Clothing,848.35,848.35
2024-10-09,Clothing,768.0,768.0
2024-10-10,Clothing,823.35,823.35
2024-10-11,Clothing,884.9,884.9
2024-10-12,Clothing,1318.31,1318.31
2024-10-13,Clothing,1125.57,1125.57
2024-10-14,Clothing,939.29,939.29
2024-10-15,Clothing,917.58,917.58
2024-10-16,Clothing,803.55,803.55
2024-10-17,Clothing,784.24,784.24
2024-10-18,Clothing,900.96,900.96
2024-10-19,Clothing,1250.67,1250.67
2024-10-20,Clothing,1289.38,1289.38
2024-10-21,Clothing,938.69,938.69
2024-10-22,Clothing,868.69,868.69
2024-10-23,Clothing,904.39,904.39
2024-10-24,Clothing,926.84,926.84
2024-10-25,Clothing,955.32,955.32
2024-10-26,Clothing,1419.31,1419.31
2024-10-27,Clothing,1421.11,1421.11
2024-10-28,Clothing,927.76,927.76
2024-10-29,Clothing,902.95,902.95
2024-10-30,Clothing,1062.58,1062.58
2024-10-31,Clothing,962.74,962.74
2024-11-01,Clothing,953.7,953.7
2024-11-02,Clothing,1286.11,1286.11
2024-11-03,Clothing,1403.73,1403.73
2024-11-04,Clothing,892.78,892.78
2024-11-05,Clothing,915.47,915.47
2024-11-06,Clothing,866.72,866.72
2024-11-07,Clothing,919.08,919.08
2024-11-08,Clothing,957.36,957.36
2024-11-09,Clothing,1299.31,1299.31
2024-11-10,Clothing,1340.64,1340.64
2024-11-11,Clothing,959.66,959.66
2024-11-12,Clothing,892.44,892.44
2024-11-13,Clothing,896.57,896.57
2024-11-14,Clothing,925.14,925.14
2024-11-15,Clothing,894.23,894.23
2024-11-16,Clothing,1461.18,1461.18
2024-11-17,Clothing,1370.12,1370.12
2024-11-18,Clothing,1034.38,1034.38
2024-11-19,Clothing,1047.02,1047.02
2024-11-20,Clothing,923.56,923.56
2024-11-21,Clothing,1000.82,1000.82
2024-11-22,Clothing,973.04,973.04
2024-11-23,Clothing,1390.31,1390.31
2024-11-24,Clothing,3080.27,2307.32
2024-11-25,Clothing,2091.83,2091.83
2024-11-26,Clothing,2155.25,2155.25
2024-11-27,Clothing,2180.51,2180.51
2024-11-28,Clothing,2059.82,2059.82
2024-11-29,Clothing,2624.285,2307.32
2024-11-30,Clothing,3188.75,2307.32
2024-12-01,Clothing,2400.44,2307.32
2024-12-02,Clothing,1445.28,1445.28
2024-12-03,Clothing,1672.22,1672.22
2024-12-04,Clothing,1590.05,1590.05
2024-12-05,Clothing,1696.07,1696.07
2024-12-06,Clothing,1583.25,1583.25
2024-12-07,Clothing,2318.27,2307.32
2024-12-08,Clothing,2376.66,2307.32
2024-12-09,Clothing,1690.86,1690.86
2024-12-10,Clothing,1626.65,1626.65
2024-12-11,Clothing,1487.57,1487.57
2024-12-12,Clothing,1673.45,1673.45
2024-12-13,Clothing,1539.86,1539.86
2024-12-14,Clothing,2349.03,2307.32
2024-12-15,Clothing,2343.28,2307.32
2024-12-16,Clothing,1536.89,1536.89
2024-12-17,Clothing,1575.36,1575.36
2024-12-18,Clothing,1594.58,1594.58
2024-12-19,Clothing,1620.32,1620.32
2024-12-20,Clothing,1656.99,1656.99
2024-12-21,Clothing,2421.64,2307.32
2024-12-22,Clothing,2357.24,2307.32
2024-12-23,Clothing,1658.35,1658.35
2024-12-24,Clothing,1730.47,1730.47
2024-12-25,Clothing,1144.08,1144.08
2024-12-26,Clothing,1097.06,1097.06
2024-12-27,Clothing,1127.88,1127.88
2024-12-28,Clothing,1637.84,1637.84
2024-12-29,Clothing,1668.3,1668.3
2024-12-30,Clothing,1197.39,1197.39
2024-12-31,Clothing,1077.91,1077.91
2025-01-01,Clothing,1081.13,1081.13
2025-01-02,Clothing,1187.26,1187.26
2025-01-03,Clothing,1193.96,1193.96
2025-01-04,Clothing,1689.57,1689.57
2025-01-05,Clothing,1458.31,1458.31
2025-01-06,Clothing,1091.0,1091.0
2025-01-07,Clothing,910.04,910.04
2025-01-08,Clothing,1150.29,1150.29
2025-01-09,Clothing,1110.9,1110.9
2025-01-10,Clothing,1111.7,1111.7
2025-01-11,Clothing,1599.61,1599.61
2025-01-12,Clothing,1687.27,1687.27
2025-01-13,Clothing,1093.66,1093.66
2025-01-14,Clothing,1174.0,1174.0
2025-01-15,Clothing,1145.95,1145.95
2025-01-16,Clothing,1134.8,1134.8
2025-01-17,Clothing,1141.75,1141.75
2025-01-18,Clothing,1620.99,1620.99
2025-01-19,Clothing,1549.29,1549.29
2025-01-20,Clothing,1158.4,1158.4
2025-01-21,Clothing,1158.59,1158.59
2025-01-22,Clothing,1107.46,1107.46
2025-01-23,Clothing,1160.18,1160.18
2025-01-24,Clothing,1170.46,1170.46
2025-01-25,Clothing,1539.58,1539.58
2025-01-26,Clothing,1607.89,1607.89
2025-01-27,Clothing,1090.12,1090.12
2025-01-28,Clothing,1062.36,1062.36
2025-01-29,Clothing,1135.89,1135.89
2025-01-30,Clothing,1065.79,1065.79
2025-01-31,Clothing,1090.09,1090.09
2025-02-01,Clothing,1628.97,1628.97
2025-02-02,Clothing,1634.57,1634.57
2025-02-03,Clothing,1134.41,1134.41
2025-02-04,Clothing,1248.69,1248.69
2025-02-05,Clothing,1083.91,1083.91
2025-02-06,Clothing,1128.57,1128.57
2025-02-07,Clothing,1040.57,1040.57
2025-02-08,Clothing,1636.63,1636.63
2025-02-09,Clothing,1675.69,1675.69
2025-02-10,Clothing,1183.51,1183.51
2025-02-11,Clothing,1071.67,1071.67
2025-02-12,Clothing,1092.14,1092.14
2025-02-13,Clothing,1183.68,1183.68
2025-02-14,Clothing,1101.31,1101.31
2025-02-15,Clothing,1654.62,1654.62
2025-02-16,Clothing,1536.9,1536.9
2025-02-17,Clothing,1186.51,1186.51
2025-02-18,Clothing,1163.9,1163.9
2025-02-19,Clothing,1128.82,1128.82
2025-02-20,Clothing,1051.72,1051.72
2025-02-21,Clothing,1088.65,1088.65
2025-02-22,Clothing,1591.55,1591.55
2025-02-23,Clothing,1595.88,1595.88
2025-02-24,Clothing,1087.44,1087.44
2025-02-25,Clothing,1079.03,1079.03
2025-02-26,Clothing,1102.03,1102.03
2025-02-27,Clothing,1172.52,1172.52
2025-02-28,Clothing,966.57,966.57
2025-03-01,Clothing,1481.81,1481.81
2025-03-02,Clothing,1468.52,1468.52
2025-03-03,Clothing,1040.3,1040.3
2025-03-04,Clothing,975.17,975.17
2025-03-05,Clothing,1110.8,1110.8
2025-03-06,Clothing,1081.34,1081.34
2025-03-07,Clothing,1058.3,1058.3
2025-03-08,Clothing,1501.44,1501.44
2025-03-09,Clothing,1548.37,1548.37
2025-03-10,Clothing,1077.78,1077.78
2025-03-11,Clothing,1084.67,1084.67
2025-03-12,Clothing,1018.84,1018.84
2025-03-13,Clothing,1099.23,1099.23
2025-03-14,Clothing,1345.83,1345.83
2025-03-15,Clothing,1592.43,1592.43
2025-03-16,Clothing,1329.08,1329.08
2025-03-17,Clothing,1015.04,1015.04
2025-03-18,Clothing,976.03,976.03
2025-03-19,Clothing,1093.03,1093.03
2025-03-20,Clothing,953.97,953.97
2025-03-21,Clothing,1149.8,1149.8
2025-03-22,Clothing,1397.23,1397.23
2025-03-23,Clothing,1607.47,1607.47
2025-03-24,Clothing,1059.41,1059.41
2025-03-25,Clothing,1031.65,1031.65
2025-03-26,Clothing,1053.22,1053.22
2025-03-27,Clothing,1155.85,1155.85
2025-03-28,Clothing,1075.09,1075.09
2025-03-29,Clothing,1326.07,1326.07
2025-03-30,Clothing,1527.31,1527.31
2025-03-31,Clothing,1026.87,1026.87
2025-04-01,Clothing,913.05,913.05
2025-04-02,Clothing,1052.79,1052.79
2025-04-03,Clothing,931.56,931.56
2025-04-04,Clothing,1012.14,1012.14
2025-04-05,Clothing,1442.44,1442.44
2025-04-06,Clothing,1384.9,1384.9
2025-04-07,Clothing,1031.15,1031.15
2025-04-08,Clothing,927.98,927.98
2025-04-09,Clothing,997.7,997.7
2025-04-10,Clothing,950.34,950.34
2025-04-11,Clothing,969.15,969.15
2025-04-12,Clothing,1510.88,1510.88
2025-04-13,Clothing,1397.44,1397.44
2025-04-14,Clothing,905.61,905.61
2025-04-15,Clothing,960.71,960.71
2025-04-16,Clothing,918.47,918.47
2025-04-17,Clothing,963.09,963.09
2025-04-18,Clothing,968.09,968.09
2025-04-19,Clothing,1366.86,1366.86
2025-04-20,Clothing,1361.93,1361.93
2025-04-21,Clothing,916.29,916.29
2025-04-22,Clothing,961.2049999999999,961.2049999999999
2025-04-23,Clothing,1006.12,1006.12
2025-04-24,Clothing,902.31,902.31
2025-04-25,Clothing,932.89,932.89
2025-04-26,Clothing,1331.37,1331.37
2025-04-27,Clothing,1398.1,1398.1
2025-04-28,Clothing,991.75,991.75
2025-04-29,Clothing,880.06,880.06
2025-04-30,Clothing,925.08,925.08
2025-05-01,Clothing,827.99,827.99
2025-05-02,Clothing,856.6,856.6
2025-05-03,Clothing,1294.85,1294.85
2025-05-04,Clothing,1326.96,1326.96
2025-05-05,Clothing,962.54,962.54
2025-05-06,Clothing,883.56,883.56
2025-05-07,Clothing,817.99,817.99
2025-05-08,Clothing,919.94,919.94
2025-05-09,Clothing,882.73,882.73
2025-05-10,Clothing,1286.36,1286.36
2025-05-11,Clothing,1265.9,1265.9
2025-05-12,Clothing,1093.1950000000002,1093.1950000000002
2025-05-13,Clothing,920.49,920.49
2025-05-14,Clothing,928.91,928.91
2025-05-15,Clothing,847.83,847.83
2025-05-16,Clothing,932.23,932.23
2025-05-17,Clothing,1198.98,1198.98
2025-05-18,Clothing,1229.85,1229.85
2025-05-19,Clothing,975.63,975.63
2025-05-20,Clothing,882.62,882.62
2025-05-21,Clothing,788.48,788.48
2025-05-22,Clothing,945.15,945.15
2025-05-23,Clothing,913.02,913.02
2025-05-24,Clothing,1267.6,1267.6
2025-05-25,Clothing,1206.89,1206.89
2025-05-26,Clothing,865.84,865.84
2025-05-27,Clothing,828.53,828.53
2025-05-28,Clothing,797.97,797.97
2025-05-29,Clothing,929.25,929.25
2025-05-30,Clothing,812.87,812.87
2025-05-31,Clothing,1142.56,1142.56
2025-06-01,Clothing,1141.03,1141.03
2025-06-02,Clothing,939.5,939.5
2025-06-03,Clothing,878.11,878.11
2025-06-04,Clothing,801.06,801.06
2025-06-05,Clothing,818.14,818.14
2025-06-06,Clothing,849.29,849.29
2025-06-07,Clothing,1199.0,1199.0
2025-06-08,Clothing,1046.31,1046.31
2025-06-09,Clothing,866.5,866.5
2025-06-10,Clothing,797.15,797.15
2025-06-11,Clothing,767.06,767.06
2025-06-12,Clothing,782.85,782.85
2025-06-13,Clothing,851.87,851.87
2025-06-14,Clothing,1229.74,1229.74
2025-06-15,Clothing,1130.23,1130.23
2025-06-16,Clothing,832.31,832.31
2025-06-17,Clothing,748.33,748.33
2025-06-18,Clothing,824.97,824.97
2025-06-19,Clothing,843.22,843.22
2025-06-20,Clothing,703.0,703.0
2025-06-21,Clothing,1074.81,1074.81
2025-06-22,Clothing,1150.67,1150.67
2025-06-23,Clothing,682.32,682.32
2025-06-24,Clothing,764.04,764.04
2025-06-25,Clothing,821.19,821.19
2025-06-26,Clothing,682.44,682.44
2025-06-27,Clothing,758.86,758.86
2025-06-28,Clothing,1093.93,1093.93
2025-06-29,Clothing,1142.25,1142.25
2025-06-30,Clothing,702.6,702.6
2025-07-01,Clothing,844.89,844.89
2025-07-02,Clothing,795.72,795.72
2025-07-03,Clothing,848.29,848.29
2025-07-04,Clothing,845.44,845.44
2025-07-05,Clothing,1100.1,1100.1
2025-07-06,Clothing,1107.56,1107.56
2025-07-07,Clothing,669.11,669.11
2025-07-08,Clothing,691.86,691.86
2025-07-09,Clothing,711.99,711.99
2025-07-10,Clothing,769.6800000000001,769.6800000000001
2025-07-11,Clothing,827.37,827.37
2025-07-12,Clothing,965.8,965.8
2025-07-13,Clothing,1052.97,1052.97
2025-07-14,Clothing,691.14,691.14
2025-07-15,Clothing,676.75,676.75
2025-07-16,Clothing,858.68,858.68
2025-07-17,Clothing,775.89,775.89
2025-07-18,Clothing,868.06,868.06
2025-07-19,Clothing,1141.27,1141.27
2025-07-20,Clothing,1014.93,1014.93
2025-07-21,Clothing,658.94,658.94
2025-07-22,Clothing,894.64,894.64
2025-07-23,Clothing,746.4,746.4
2025-07-24,Clothing,702.35,702.35
2025-07-25,Clothing,812.88,812.88
2025-07-26,Clothing,1080.18,1080.18
2025-07-27,Clothing,1032.31,1032.31
2025-07-28,Clothing,752.17,752.17
2025-07-29,Clothing,783.23,783.23
2025-07-30,Clothing,778.67,778.67
2025-07-31,Clothing,820.31,820.31
2025-08-01,Clothing,754.57,754.57
2025-08-02,Clothing,1057.51,1057.51
2025-08-03,Clothing,1115.36,1115.36
2025-08-04,Clothing,797.3,797.3
2025-08-05,Clothing,845.21,845.21
2025-08-06,Clothing,765.65,765.65
2025-08-07,Clothing,775.9,775.9
2025-08-08,Clothing,713.64,713.64
2025-08-09,Clothing,1178.45,1178.45
2025-08-10,Clothing,1006.7,1006.7
2025-08-11,Clothing,799.08,799.08
2025-08-12,Clothing,734.87,734.87
2025-08-13,Clothing,810.12,810.12
2025-08-14,Clothing,836.08,836.08
2025-08-15,Clothing,694.66,694.66
2025-08-16,Clothing,1090.4,1090.4
2025-08-17,Clothing,1000.07,1000.07
2025-08-18,Clothing,882.4,882.4
2025-08-19,Clothing,773.37,773.37
2025-08-20,Clothing,707.23,707.23
2025-08-21,Clothing,761.63,761.63
2025-08-22,Clothing,884.39,884.39
2025-08-23,Clothing,1210.86,1210.86
2025-08-24,Clothing,1200.81,1200.81
2025-08-25,Clothing,764.88,764.88
2025-08-26,Clothing,804.98,804.98
2025-08-27,Clothing,914.42,914.42
2025-08-28,Clothing,774.72,774.72
2025-08-29,Clothing,800.85,800.85
2025-08-30,Clothing,1086.67,1086.67
2025-08-31,Clothing,1077.53,1077.53
2025-09-01,Clothing,900.55,900.55
2025-09-02,Clothing,868.53,868.53
2025-09-03,Clothing,860.22,860.22
2025-09-04,Clothing,870.62,870.62
2025-09-05,Clothing,899.76,899.76
2025-09-06,Clothing,1260.27,1260.27
2025-09-07,Clothing,1173.16,1173.16
2025-09-08,Clothing,826.21,826.21
2025-09-09,Clothing,788.05,788.05
2025-09-10,Clothing,917.26,917.26
2025-09-11,Clothing,824.32,824.32
2025-09-12,Clothing,768.47,768.47
2025-09-13,Clothing,1182.39,1182.39
2025-09-14,Clothing,1204.33,1204.33
2025-09-15,Clothing,917.1,917.1
2025-09-16,Clothing,930.45,930.45
2025-09-17,Clothing,829.48,829.48
2025-09-18,Clothing,828.47,828.47
2025-09-19,Clothing,859.97,859.97
2025-09-20,Clothing,1157.42,1157.42
2025-09-21,Clothing,1228.23,1228.23
2025-09-22,Clothing,917.05,917.05
2025-09-23,Clothing,858.13,858.13
2025-09-24,Clothing,799.21,799.21
2025-09-25,Clothing,827.84,827.84
2025-09-26,Clothing,979.9,979.9
2025-09-27,Clothing,1203.18,1203.18
2025-09-28,Clothing,1313.29,1313.29
2025-09-29,Clothing,950.96,950.96
2025-09-30,Clothing,897.2,897.2
2025-10-01,Clothing,860.21,860.21
2025-10-02,Clothing,936.18,936.18
2025-10-03,Clothing,873.93,873.93
2025-10-04,Clothing,1289.15,1289.15
2025-10-05,Clothing,1311.28,1311.28
2025-10-06,Clothing,894.84,894.84
2025-10-07,Clothing,927.85,927.85
2025-10-08,Clothing,926.59,926.59
2025-10-09,Clothing,874.61,874.61
2025-10-10,Clothing,940.97,940.97
2025-10-11,Clothing,1298.53,1298.53
2025-10-12,Clothing,1232.69,1232.69
2025-10-13,Clothing,943.19,943.19
2025-10-14,Clothing,950.18,950.18
2025-10-15,Clothing,934.57,934.57
2025-10-16,Clothing,850.89,850.89
2025-10-17,Clothing,1024.88,1024.88
2025-10-18,Clothing,1415.68,1415.68
2025-10-19,Clothing,1419.15,1419.15
2025-10-20,Clothing,1009.01,1009.01
2025-10-21,Clothing,917.85,917.85
2025-10-22,Clothing,1004.37,1004.37
2025-10-23,Clothing,945.09,945.09
2025-10-24,Clothing,1135.74,1135.74
2025-10-25,Clothing,1381.65,1381.65
2025-10-26,Clothing,1458.4,1458.4
2025-10-27,Clothing,1203.525,1203.525
